,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
33,frozenset({'Yoshi'}),"frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
34,"frozenset({'Marth', 'Yoshi'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
35,"frozenset({'Yoshi', 'Falco'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
36,frozenset({'Yoshi'}),"frozenset({'Marth', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
37,"frozenset({'Jigglypuff', 'Peach'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
38,"frozenset({'Pikachu', 'Fox'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
39,"frozenset({'Pikachu', 'Jigglypuff'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
40,frozenset({'Pikachu'}),"frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
41,"frozenset({'Yoshi', 'Fox'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
42,"frozenset({'Yoshi', 'Jigglypuff'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
43,frozenset({'Yoshi'}),"frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
44,"frozenset({'Sheik', 'Fox'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
45,"frozenset({'Yoshi', 'Fox'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
46,"frozenset({'Yoshi', 'Marth'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
47,frozenset({'Yoshi'}),"frozenset({'Marth', 'Fox'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
48,"frozenset({'Yoshi', 'Marth'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
49,"frozenset({'Yoshi', 'Jigglypuff'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
50,frozenset({'Yoshi'}),"frozenset({'Marth', 'Jigglypuff'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
51,"frozenset({'Jigglypuff', 'Fox', 'Captain Falcon'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
52,"frozenset({'Marth', 'Fox', 'Captain Falcon'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
53,"frozenset({'Pikachu', 'Fox', 'Captain Falcon'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
54,"frozenset({'Pikachu', 'Fox', 'Falco'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
55,"frozenset({'Pikachu', 'Captain Falcon', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
56,"frozenset({'Pikachu', 'Fox'})","frozenset({'Captain Falcon', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
